Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196307,-0.9962,-0.5098,-0.1385,-1.2396,0.5487,0.1981
196308,4.6421,4.4236,5.5403,6.1849,4.8311,6.0558
196309,-1.0470,-2.1324,-2.0696,-1.1901,-1.4168,-0.4660
196310,2.0194,1.0046,1.4467,2.0655,1.8442,7.1314
196311,-0.7462,-1.1328,-2.4649,0.1795,0.1686,-2.6430
196312,-0.0953,0.1850,1.1097,2.3372,2.6013,1.6368
196401,4.2674,3.0242,1.4225,2.7854,2.7354,2.6678
196402,2.4559,2.8335,1.5921,2.5349,1.4431,1.7770
196403,5.8353,3.2906,2.4035,4.1144,0.9174,1.5810
196404,-0.9704,-0.1621,-1.5191,-1.7953,1.1802,1.0063
196405,2.6522,0.5430,0.0009,0.8658,0.9869,3.2524
196406,2.1025,2.0395,1.1954,0.3238,2.3249,1.0308
196407,2.8697,2.6663,1.9014,3.1320,2.2080,0.3944
196408,-1.3910,-0.0718,-0.6177,-0.4171,-1.1141,-1.8082
196409,3.8084,3.1370,2.7359,3.6801,2.5308,3.6381
196410,2.0470,1.6190,1.5018,0.5135,1.1019,0.0238
196411,-0.7146,-0.4735,0.3450,1.0835,0.3210,0.3462
196412,-2.0040,-0.1165,0.1322,-0.5212,0.9276,0.4419
196501,7.0980,5.8130,6.4818,4.7506,2.6261,5.4119
196502,4.0616,3.5247,4.3216,0.8586,-0.0129,1.8354
196503,1.6720,1.2723,0.3453,-1.0586,-1.4158,-1.0300
196504,3.7656,5.0480,5.3879,2.3653,3.1278,5.2822
196505,0.5455,-0.4135,-0.0122,0.3779,-0.3794,-0.2367
196506,-9.2709,-8.4814,-10.1482,-5.8661,-3.9569,-5.8578
196507,3.3745,2.5610,3.2759,1.5652,1.3623,1.8227
196508,6.2178,4.7626,6.0474,2.2613,2.4383,4.0481
196509,4.4771,3.7928,4.0292,4.0458,3.0405,3.0326
196510,6.4838,6.3270,7.2878,2.4758,2.3950,3.1920
196511,7.5034,4.3884,6.2021,-0.8942,-1.0115,2.1530
196512,2.8610,4.1566,4.5638,1.2657,1.0541,0.6680
196601,6.6116,6.2575,5.9235,-0.0020,0.3011,1.1978
196602,4.7885,2.4700,3.7742,-3.2177,-1.6301,0.6937
196603,-1.5024,-3.0564,-1.7133,-1.3261,-2.9123,-1.0176
196604,6.7597,3.1707,6.6106,1.6033,1.6287,3.5943
196605,-11.7393,-9.5945,-9.9109,-5.1912,-4.9351,-4.0501
196606,0.9377,-0.0652,0.1970,-0.2499,-1.6199,-1.0912
196607,-1.7534,-1.2053,-2.1584,-0.1499,-0.7106,-3.2298
196608,-10.2815,-9.6286,-10.8633,-6.8503,-7.1561,-7.8106
196609,-1.3825,-1.6927,-1.9189,0.4000,0.4988,-3.7688
196610,-0.7063,-0.2222,-3.7446,6.8686,5.4415,1.4524
196611,2.2880,3.6031,7.3762,-1.5403,0.7562,6.3929
196612,1.2999,1.0227,3.7449,0.9155,0.6710,-1.2024
196701,16.5956,15.9689,18.9739,6.2204,7.2331,9.9714
196702,4.2177,2.8439,3.3180,-1.0625,1.0926,1.6912
196703,5.8277,6.4676,6.6404,3.9984,3.5622,6.1831
196704,3.8907,4.2890,5.2869,1.2283,4.1808,7.2783
196705,-1.2839,-1.8050,-1.8006,-2.2728,-4.9581,-4.9866
196706,7.2325,8.5213,10.3634,1.3510,1.4810,3.2097
196707,10.1691,7.8458,7.4008,6.6350,3.7806,4.0849
196708,0.9863,1.1033,-1.3580,-0.7007,-0.6494,-1.0510
196709,4.9856,4.9600,5.9019,3.0678,2.9270,4.0184
196710,-3.6839,-0.7537,-3.6224,-4.9485,-3.1273,0.4747
196711,-1.2658,1.1888,1.3546,-0.5507,0.8856,1.3954
196712,8.5132,6.9590,9.0879,3.1596,2.4782,2.6397
196801,4.4212,1.7502,-2.0683,-1.2070,-3.5458,-7.6349
196802,-4.6110,-5.4206,-7.2998,-1.7791,-2.8353,-4.0014
196803,-0.7105,-0.6597,-2.0060,-1.1855,0.8010,2.4145
196804,14.0472,13.1715,17.0564,6.7240,7.9252,11.1709
196805,8.6279,9.1457,9.2056,0.5948,0.7831,3.8539
196806,2.3544,1.0590,-0.6395,2.1462,1.5433,-0.4530
196807,-1.1225,-2.9920,-5.5950,-1.1924,-0.6939,-4.2999
196808,4.7246,3.1128,4.0252,1.9294,1.1152,1.6938
196809,6.6746,6.9949,8.0227,6.4952,3.2461,3.4072
196810,0.8318,1.1777,-0.0264,3.2139,1.6623,-1.6148
196811,7.1863,7.7054,8.2768,2.7986,6.1456,6.7375
196812,0.6521,-0.7482,-0.7258,-2.4265,-4.1200,-4.9079
196901,-0.9340,-0.2701,-2.1408,-1.0423,0.3274,-2.4146
196902,-8.9637,-7.5936,-10.1659,-4.4031,-4.5971,-4.7057
196903,2.0990,3.4471,3.1516,3.3488,3.6202,3.1758
196904,1.2894,2.5508,-0.2830,0.6834,2.6814,2.5666
196905,0.4936,0.5410,-0.5613,-0.0138,1.3894,-1.0613
196906,-11.7799,-10.8870,-12.3630,-7.3888,-6.3049,-3.5525
196907,-8.1038,-8.9970,-11.3724,-5.6790,-6.0496,-6.0842
196908,4.0346,4.1784,8.0030,2.9822,5.2095,6.9688
196909,-1.5049,-0.8004,-1.8509,-2.9155,-2.9435,-1.3222
196910,7.7728,8.0301,11.0082,4.7478,5.3169,5.6685
196911,-4.8822,-5.2052,-6.0597,-2.5375,-3.8295,-1.7851
196912,-6.5323,-4.3269,-5.1745,-3.3478,-0.7091,-0.8624
197001,-3.0465,-2.9048,-7.4439,-5.7110,-8.1892,-9.2324
197002,4.9531,3.1718,3.2108,8.0371,6.1647,4.0371
197003,-0.0182,-1.7670,-4.9808,2.0358,-0.2968,-1.8501
197004,-13.2748,-13.7492,-20.5458,-8.5001,-8.4118,-13.0263
197005,-7.8842,-9.5789,-12.5649,-4.9456,-5.2197,-7.8466
197006,-5.6596,-6.7299,-8.8998,-5.0858,-3.8208,-7.2665
197007,6.9106,6.6339,7.0744,9.6729,6.9207,6.0672
197008,6.4158,6.6207,6.5397,5.8730,4.1650,6.0243
197009,9.8143,9.9860,16.5841,2.1115,3.4001,7.2975
197010,-4.6443,-5.2637,-7.4030,-0.9205,-0.8937,-2.6563
197011,2.0719,2.9722,0.2940,6.0443,5.3824,5.0406
197012,8.8350,9.1421,8.4178,5.4038,6.4428,5.2262
197101,14.2000,10.7493,11.1726,3.3439,4.0269,6.4826
