Date,sigma_real_abs_rt,sigma_fitted_garch
1990-09-01,366.29999999999995,318.49330615522126
1990-10-01,242.28,359.6603543886095
1990-11-01,427.97,362.8956821253168
1990-12-01,161.47,363.54810514636006
1991-01-01,46.29,337.20349661218773
1991-02-01,615.1,316.3664079836823
1991-03-01,161.9,371.07308448591
1991-04-01,80.62,343.103875931873
1991-05-01,91.06,320.26724990985747
1991-06-01,413.90000000000003,302.5764861805915
1991-07-01,397.7399999999999,361.28064188992147
1991-08-01,259.82,357.64029986879376
1991-09-01,121.09,338.518730668086
1991-10-01,126.96000000000001,329.92760792773436
1991-11-01,369.38,310.2338496740318
1991-12-01,943.8199999999998,355.1174038729718
1992-01-01,32.29,486.69152779611267
1992-02-01,238.49,435.4254444327652
1992-03-01,216.44,397.64667613106786
1992-04-01,242.64000000000001,386.6508871489536
1992-05-01,7.729999999999998,359.5707085649627
1992-06-01,165.91,335.1970067190213
1992-07-01,301.79999999999995,333.3327323439053
1992-08-01,371.78,324.31699945787096
1992-09-01,92.51,364.67065713039455
1992-10-01,170.45999999999998,337.01567468842984
1992-11-01,318.13,316.9565643545071
1992-12-01,129.9,314.18018786411096
1993-01-01,289.56,298.21140957509084
1993-02-01,257.66,297.0639159460993
1993-03-01,274.71999999999997,292.81862724356364
1993-04-01,163.24,291.47565079591396
1993-05-01,267.47999999999996,301.68334665012037
1993-06-01,27.310000000000002,297.19678492147466
1993-07-01,24.240000000000002,286.56465122260045
1993-08-01,390.64,278.7524104671012
1993-09-01,18.55,298.1465916457266
1993-10-01,157.03,287.68805807795934
1993-11-01,220.33,278.9684565331725
1993-12-01,121.34,302.94345632431776
1994-01-01,394.09999999999997,289.520334364236
1994-02-01,351.85,306.08672045441426
1994-03-01,432.02,348.3891361722604
1994-04-01,167.73,394.3472306717365
1994-05-01,155.75,361.61322408741114
1994-06-01,321.81,335.507657885001
1994-07-01,315.53,361.0618956793223
1994-08-01,366.94,346.6502531372769
1994-09-01,240.43,342.4374086083844
1994-10-01,118.82999999999998,350.29872853994857
1994-11-01,483.02,325.89815252922216
1994-12-01,85.5,393.2951009218726
1995-01-01,107.88,359.6078782239693
1995-02-01,441.85999999999996,333.07055801468096
1995-03-01,371.08,344.6880510131525
1995-04-01,251.32,341.5891539576972
1995-05-01,298.58,325.55296113971576
1995-06-01,38.879999999999995,318.17443007060746
1995-07-01,289.72,301.99522642291555
1995-08-01,74.12,299.83834071285423
1995-09-01,344.6,287.1749415144662
1995-10-01,132.99,296.4660107076862
1995-11-01,460.78000000000003,300.78182249497956
1995-12-01,270.81,326.16298709030815
1996-01-01,367.7999999999999,315.69494577830136
1996-02-01,56.49999999999999,320.14831082985387
1996-03-01,37.14999999999999,302.9793150810646
1996-04-01,100.03,290.51927251248264
1996-05-01,84.13000000000001,279.97072892967134
1996-06-01,20.76,272.1357121225948
1996-07-01,450.15,268.2492385823371
1996-08-01,99.45000000000002,351.02382110369115
1996-09-01,359.14,326.3433628162715
1996-10-01,258.08,326.53118627901483
1996-11-01,626.79,314.76550629522444
1996-12-01,68.82000000000001,373.0355431775149
1997-01-01,467.20999999999987,350.7537667164338
1997-02-01,52.629999999999995,361.6768617355867
1997-03-01,431.84,335.2116998202231
1997-04-01,310.01,385.9410283526125
1997-05-01,527.32,364.9700837716126
1997-06-01,392.93,383.12790981460864
1997-07-01,590.66,373.06040839050183
1997-08-01,472.06,401.97368494350485
1997-09-01,508.29999999999995,438.78196104497016
1997-10-01,358.04,432.3158656284332
1997-11-01,455.86,435.7702058375133
1997-12-01,314.25,421.6233336285071
1998-01-01,53.5,392.9397418845971
1998-02-01,495.92,364.96304197706354
1998-03-01,368.09,376.99576112580297
1998-04-01,44.2,365.07662429937517
1998-05-01,150.26,342.6510664709855
1998-06-01,167.64,336.6514623633143
1998-07-01,193.23999999999998,316.56250409636954
1998-08-01,1201.79,324.086992804196
1998-09-01,678.19,629.4085398709971
1998-10-01,687.1099999999999,603.7924693868015
1998-11-01,608.08,586.1341156433714
1998-12-01,377.88,559.2475232469162
1999-01-01,103.78,507.78397386418555
1999-02-01,273.95,459.68498702964666
1999-03-01,406.28000000000003,441.7015946973305
1999-04-01,586.18,419.06330887490213
1999-05-01,118.46000000000001,432.655132594756
1999-06-01,196.36,401.5369007686723
1999-07-01,294.38,368.4732434242992
1999-08-01,323.09999999999997,378.3951447208091
1999-09-01,363.18,390.8171638586013
1999-10-01,394.33,407.4278849664414
1999-11-01,17.740000000000002,391.4558864596166
1999-12-01,51.629999999999995,359.71816833111893
2000-01-01,254.15,333.7061481840374
2000-02-01,647.4599999999999,346.59924386224026
2000-03-01,1099.33,451.51246842985637
2000-04-01,231.44,587.1033851061027
2000-05-01,244.72,535.136408502848
2000-06-01,149.03,495.7084237751403
2000-07-01,42.04,454.06182996032135
2000-08-01,794.2299999999999,408.83710422122715
2000-09-01,272.96999999999997,474.5930963505476
2000-10-01,30.819999999999997,452.8342474433051
2000-11-01,282.07,410.7952706420627
2000-12-01,471.25000000000006,406.65463297035575
2001-01-01,65.80999999999999,402.51338374534447
2001-02-01,287.31,367.1360253310909
2001-03-01,471.27,376.144783299717
2001-04-01,636.17,421.67550590437673
2001-05-01,169.76,444.9499879830022
2001-06-01,260.18,401.969616091987
2001-07-01,213.82,396.5799591513492
2001-08-01,254.06,385.4752341355458
2001-09-01,808.61,383.52105221114147
2001-10-01,13.889999999999999,520.6845261688183
2001-11-01,809.54,463.5661636798989
2001-12-01,197.79,513.5053350115038
2002-01-01,3.620000000000001,458.2987733412401
2002-02-01,42.870000000000005,413.8071908875548
2002-03-01,535.77,380.57261732985614
2002-04-01,239.25,395.6345253462083
2002-05-01,42.82,388.5960189734943
2002-06-01,525.37,356.61326120543396
2002-07-01,825.53,423.0939763701806
2002-08-01,124.58,547.5258898062053
2002-09-01,1260.07,493.2256106548324
2002-10-01,967.5899999999999,723.9173374288898
2002-11-01,1020.51,729.6811672932154
2002-12-01,775.1600000000001,745.3230495024767
2003-01-01,202.11,745.8421584126947
2003-02-01,207.48000000000002,660.5513198753115
2003-03-01,29.580000000000002,591.627168412459
2003-04-01,871.2099999999999,523.16447999205
2003-05-01,839.5400000000001,568.0683407963426
2003-06-01,49.47,591.2652818613017
2003-07-01,225.51999999999998,520.4782427059396
2003-08-01,449.94999999999993,465.178524047468
2003-09-01,248.15,442.95157871752076
2003-10-01,777.0,425.25163282691034
2003-11-01,249.44000000000003,480.52843040505826
2003-12-01,563.03,434.30517710667715
2004-01-01,296.01,438.9254418845169
2004-02-01,119.09,404.76126927295604
2004-03-01,197.19,368.78020862205466
2004-04-01,249.17,362.45003534360325
2004-05-01,193.23999999999998,366.0619747434284
2004-06-01,178.38,340.4990462724563
2004-07-01,494.53999999999996,319.98156140352216
2004-08-01,111.38,392.85652906092946
2004-09-01,11.04,369.99120683634237
2004-10-01,234.19,343.1600203962343
2004-11-01,375.93,325.38337248149975
2004-12-01,303.0,328.31762754376166
2005-01-01,410.85,320.72715053471677
2005-02-01,143.28,371.6995765605141
2005-03-01,51.21,343.0632040459075
2005-04-01,220.23000000000002,326.3190044812802
2005-05-01,371.67,335.4457379377242
2005-06-01,1.419999999999999,334.9443150859363
2005-07-01,279.96,316.5111058422221
2005-08-01,126.58,309.43870413627894
2005-09-01,10.100000000000001,309.2571360715268
2005-10-01,309.95,296.489545224978
2005-11-01,326.69,332.7822152239115
2005-12-01,42.51,326.873641582965
2006-01-01,256.15000000000003,313.33072762360797
2006-02-01,63.58999999999999,304.71121015384176
2006-03-01,94.30999999999999,291.0550575675951
2006-04-01,90.93,280.37627165473054
2006-05-01,245.47,272.39148696542367
2006-06-01,3.269999999999995,303.5290823506883
2006-07-01,89.78,292.5524349837837
2006-08-01,378.60999999999996,292.50183634090274
2006-09-01,270.28,305.5227604927525
2006-10-01,300.15999999999997,300.3102678360273
2006-11-01,92.52,299.84226756267765
2006-12-01,195.67000000000002,287.01017516051024
2007-01-01,102.1,280.4064490434881
2007-02-01,291.64,272.40366507099264
2007-03-01,4.84,313.3706996696387
2007-04-01,486.60999999999996,300.45249671447175
2007-05-01,259.15,331.2384841713619
2007-06-01,180.96,318.40509642596294
2007-07-01,396.03999999999996,323.4578368445621
2007-08-01,117.14,369.82773601851966
2007-09-01,172.74,341.1514442246787
2007-10-01,239.27999999999997,320.239479807742
2007-11-01,483.46999999999997,308.40478369363626
2007-12-01,149.42,383.06303815897206
2008-01-01,614.0500000000001,366.74669131950867
2008-02-01,407.8,453.3711800313832
2008-03-01,154.55,460.415357615511
2008-04-01,247.77999999999997,426.8762435965617
2008-05-01,272.46000000000004,391.492819225218
2008-06-01,844.97,365.68697572621625
2008-07-01,111.83000000000001,522.9616023320457
2008-08-01,274.6,472.47863393536977
2008-09-01,906.47,429.5863212135168
2008-10-01,1566.93,575.992593450334
2008-11-01,597.61,868.5885739963086
2008-12-01,159.09,806.508543005276
2009-01-01,852.55,699.3411408799068
2009-02-01,932.9699999999999,730.384783046767
2009-03-01,732.84,770.8283960385697
2009-04-01,900.95,721.0466780182106
2009-05-01,505.60999999999996,713.7556552316944
